Garaža,Datum,Vreme,Broj slobodnih mesta (LoRaWan),Kapacitet,Procenat
Baba Višnjina,12/01/2022,09:00:00,104,351,30%
Botani?ka bašta,12/01/2022,09:00:00,16,246,7%
Dr Aleksandra Kosti?a,12/01/2022,09:00:00,0,59,0%
Masarikova,12/01/2022,09:00:00,115,457,25%
Obili?ev venac,12/01/2022,09:00:00,318,805,40%
Pionirski park,12/01/2022,09:00:00,222,459,48%
Vukov spomenik,12/01/2022,09:00:00,37,119,31%
Zeleni venac,12/01/2022,09:00:00,129,303,43%
Baba Višnjina,12/01/2022,  12:00:00,44,351,13%
Botani?ka bašta,12/01/2022,  12:00:00,0,246,0%
Dr Aleksandra Kosti?a,12/01/2022,  12:00:00,0,59,0%
Masarikova,12/01/2022,  12:00:00,9,457,2%
Obili?ev venac,12/01/2022,  12:00:00,108,805,13%
Pionirski park,12/01/2022,  12:00:00,24,459,5%
Vukov spomenik,12/01/2022,  12:00:00,0,119,0%
Zeleni venac,12/01/2022,  12:00:00,33,303,11%
Baba Višnjina,12/01/2022,15:00:00,19,351,5%
Botani?ka bašta,12/01/2022,15:00:00,2,246,1%
Dr Aleksandra Kosti?a,12/01/2022,15:00:00,32,59,54%
Masarikova,12/01/2022,15:00:00,91,457,20%
Obili?ev venac,12/01/2022,15:00:00,4,805,0%
Pionirski park,12/01/2022,15:00:00,22,459,5%
Vukov spomenik,12/01/2022,15:00:00,4,119,3%
Zeleni venac,12/01/2022,15:00:00,31,303,10%
Baba Višnjina,12/01/2022,18:00:00,136,351,39%
Botani?ka bašta,12/01/2022,18:00:00,2,246,1%
Dr Aleksandra Kosti?a,12/01/2022,18:00:00,42,59,71%
Masarikova,12/01/2022,18:00:00,337,457,74%
Obili?ev venac,12/01/2022,18:00:00,79,805,10%
Pionirski park,12/01/2022,18:00:00,225,459,49%
Vukov spomenik,12/01/2022,18:00:00,2,119,2%
Zeleni venac,12/01/2022,18:00:00,124,303,41%
Baba Višnjina,12/01/2022,21:00:00,142,351,40%
Botani?ka bašta,12/01/2022,21:00:00,10,246,4%
Dr Aleksandra Kosti?a,12/01/2022,21:00:00,45,59,76%
Masarikova,12/01/2022,21:00:00,328,457,72%
Obili?ev venac,12/01/2022,21:00:00,133,805,17%
Pionirski park,12/01/2022,21:00:00,281,459,61%
Vukov spomenik,12/01/2022,21:00:00,11,119,9%
Zeleni venac,12/01/2022,21:00:00,166,303,55%
